id,duration,length_cycling,length_local,partition,end_of_facility,length_bike_lane,length_seperate_cycling_link,length_collector,elev_m3,intersections,intersections_disc,length_arterial,length,elev_m2,avg_speed,length_inverse,traffic_lights,length_designated_roadway,length_other_road,change_of_facility_type,length_offroad,right_turn,left_turn,length_highway
1017,919,1146.6134209687357,3198.798692381901,"[195, 25]",0,589.3204783296126,91.37696011585865,5.889675307889213,-0.0010749663138452867,40,6,691.7956112562404,5166.428985817488,13.988617352580771,5.621794326243186,697.2652939543597,14,10.651935286396517,0,1,455.2640472368679,8,5,0
796,3086,5806.368701996471,3300.1602635699746,"[287, 847]",1,37.9295834921828,5768.327415056291,298.2365622467227,-0.13630513189605167,52,21,345.37472317617215,14918.297617687535,4.992022014841692,4.834185877410089,1401.5087808604887,20,0,0,7,0.11170344799757004,4,6,0
375,922,593.2379093183861,3056.4923598387068,"[377, 401]",0,318.9918950499583,274.24601426842776,312.44968373486813,-0.14159237846123537,25,4,75.8529333388249,4454.215536583475,2.0451815865423986,4.831036373734789,291.72785062590145,6,0,0,1,0,4,5,0
632,1636,2507.5437717105506,3561.068703156506,"[236, 282]",0,240.0011355492598,2048.586812567318,673.1175725814039,0.007865472328589971,53,18,258.258574594714,7091.3610545110205,1.1893277032262304,4.334572771706003,43.15890074260876,21,218.9558235939734,0,3,0,9,8,0
1047,7087,15844.810459806815,3275.1271257056574,"[494, 381]",0,278.9970028551119,12947.796720330187,3270.205877576692,-0.25041197186745845,219,92,4791.547056641967,29508.06683824516,13.209645114286884,4.163689408529019,1344.8551515771478,21,78.57168697246314,0,20,2539.445049649054,19,20,0
613,1004,2725.2877120326593,1827.886373697776,"[269, 96]",0,100.36575206341902,2624.9219599692406,16.07304880827722,-0.2325263253570829,30,14,434.4980478839303,5076.9815277439875,2.3708287789940403,5.056754509705167,496.07670841075594,8,0,0,4,0,2,4,0
606,3118,5283.711330860417,2901.812624562887,"[287, 847]",1,130.09625668124784,5153.615074179169,637.054403866302,-0.3004860863762081,47,20,292.3900942788708,15102.304215382774,4.701916679045469,4.843586983766124,1053.281693107997,20,0,0,7,0,8,9,0
476,781,1576.3966337932166,520.4161404400236,"[223, 1]",0,1066.273867865096,510.1227659281204,1251.6181802299275,0.05831947307347539,46,33,743.9337601894385,4092.364714652606,5.017458469503555,5.239903603908586,0,27,0,0,0,0,4,4,0
333,1010,1511.1679345922098,245.34502358927523,"[382, 229]",0,898.7069728453596,0,3023.0396719629966,-0.002280979211690736,50,33,159.83317013816193,4948.240227478709,1.3141174678007816,4.89924774997892,0,18,612.46096174685,0,5,0,2,3,0
197,1532,1397.776332539586,139.36526273713915,"[264, 213]",0,0,258.42222344517245,0,0.21765447602684207,13,1,445.7451593133035,3104.4098574760087,1.393392725499473,2.0263771915639746,0,0,15.796507782398493,0,1,1123.557601312015,2,1,0
987,3274,2394.6868767558017,0,"[151, 754]",2,166.73335097430981,514.5438102381488,15336.169865780696,-0.32164950473635073,186,71,2750.543571637757,20526.717176862487,7.751003864988846,6.2696142873740035,19.249602795077976,16,1713.409715543343,0,7,0,1,4,0
408,1380,3375.4453140923524,2677.7217431518825,"[425, 551]",0,966.2501425084937,807.6217726668394,1010.6957904147481,0.06882311851060326,51,14,313.8677129806796,8339.883970610568,2.2693261902192527,6.043394181601861,412.68303633750133,17,86.2035995638894,0,3,1515.3697993531289,6,4,0
4,28,0,-27.035882510244846,"[75, 75]",0,0,0,0,0.036895014022811506,0,0,0,-27.035882510244846,0.3326936159117492,-0.9655672325087445,0,0,0,0,0,0,0,0,0
243,1613,1163.7426144951241,1030.2073610532245,"[226, 367]",0,214.75335004130233,912.9204921885228,1527.1318232635497,0.17668132782769005,43,19,382.4080780415937,4638.351072184444,2.366579975131676,2.8756051284466486,188.88159500969996,17,36.06877226529911,0,4,0,4,8,0
803,1030,1932.1147138905483,539.002593537143,"[258, 27]",0,1668.5421367098302,263.57257718071804,546.9167745074343,-0.07806083141489185,54,36,2265.0590341201832,5346.259160486747,5.205645744386208,5.190542874258977,176.10223329314553,28,0,0,2,0,4,7,0
587,1824,4226.197200076704,483.0943075151399,"[425, 58]",0,0,4226.197200076704,703.1690350375283,0.19234219973434144,86,26,3447.6195217398313,9157.78824797144,4.2065701096008254,5.020717241212413,241.07653754062466,40,0,0,1,0,5,7,0
515,525,821.9100106760287,880.6864550857925,"[365, 230]",0,362.8229511904286,0,0,0.0048528868235035395,26,5,619.8607982992745,2388.4079233902025,0.2976255913851558,4.549348425505148,11.70827375096269,8,459.08705948560004,0,2,0,3,1,0
676,1732,54.167659799204586,3945.894403244947,"[627, 305]",0,43.86191275666221,0,602.6441841818963,-0.011055222615119016,53,4,190.82411901119588,6229.642722955703,2.440262126288552,3.5967914104825076,197.7850506745362,4,10.30574704254239,692.4757324193894,1,0,7,8,0
164,1057,922.0546943688199,439.91041228006264,"[220, 238]",0,761.2727972778965,160.7818970909234,1692.063988030771,-0.059137974857387164,39,27,21.830653441758585,3092.353345571274,1.7923415768557756,2.925594461278405,322.42458969414224,12,0,0,4,0,3,4,0
773,2248,4958.386372711539,262.82482326505516,"[427, 18]",0,0,4958.386372711539,240.74969531812877,0.5134694604000334,83,43,3352.8393841494603,9047.69096371875,6.993172110864977,4.024773560373109,254.07183940595655,28,0,0,5,0,13,10,0
847,10389,33486.258918621905,5214.348389286421,"[375, 375]",4,956.6556139570583,14576.716405240319,6305.353145733588,3.2000997517616963,312,101,4501.685479098578,54611.74163235195,82.00884373153052,5.256688962590427,2310.807326195924,70,1321.5160896627485,65.5295336578674,31,16631.37080976178,27,23,303.16086405034275
150,2234,1932.9002802077785,6383.541194647692,"[157, 605]",2,1715.846213094899,217.05406711287947,814.0392395486781,-0.3014570637728425,87,19,2968.762906580205,13278.413336547892,6.03335025561083,5.943783946529942,4301.212363980657,23,0,0,3,0,14,17,1179.169715563556
741,6661,3699.3748270597957,6303.863011955816,"[641, 26]",2,512.9601770412057,161.03006172860876,4664.491798442235,-9.143807781520144,161,33,5219.495008345597,26505.97380741424,137.54225660588554,3.979278457801267,2765.340525033299,39,754.9659948484008,2460.280396760385,1,2270.418593441581,25,14,0
330,738,599.4000990333902,421.8856554786265,"[713, 116]",1,0,599.4000990333902,0,0.01634933810062418,35,9,5588.8761424457825,6610.1618969577985,1.2092663042436398,8.956858938967207,49.05519033332364,6,0,0,1,0,2,2,0
1031,290,0,836.6802683601107,"[311, 317]",1,0,0,723.0059478478788,0.015709220316247975,15,1,0,1559.6862162079897,0.677295627752764,5.378228331751688,0,3,0,0,0,0,0,1,0
137,819,0,145.8487638842695,"[20, 29]",0,0,0,429.22341695958903,2.263421049738613,26,0,2722.7725162079287,3930.746936733848,11.278786345296623,4.799446809198837,95.51250943495825,13,0,0,0,0,4,6,578.395195322369
992,1672,2557.8340406030384,832.3136359088533,"[233, 880]",2,30.639624555999205,2527.1944160470393,22.56894811987877,-0.12270799024788379,16,2,32.55198395542987,7923.351731572151,2.3413472894155345,4.738846729409182,278.81570779250967,4,0,0,2,0,2,3,0
846,1879,2491.626238514951,2584.217411669803,"[121, 365]",1,410.38250368273526,1709.2059926457532,4000.989425423358,0.10978659089049113,118,48,1659.6175794648505,11201.979776172666,7.885761469914538,5.961670982529359,298.16279156139257,41,372.03774218646265,0,7,0,7,11,231.3304534832971
611,2132,5441.210166349326,203.15632907038474,"[639, 1085]",2,2734.9130362978794,1185.8403818005777,2330.977624965827,-0.031178320103871688,82,54,2452.2899273124576,12352.102231931349,3.365273829237523,5.79366896432052,653.7431148288596,22,1520.4567482508699,0,6,0,4,4,0
485,1596,2078.7445181369226,1712.491864762298,"[73, 407]",0,82.83616795090197,1916.0885105775583,307.5999579609585,-0.6463692912225796,65,23,1039.5867300990442,6868.080958552993,11.741921038537697,4.3033088712738055,471.7186043754892,13,79.8198396084621,1500.4829648075072,7,0,6,7,0
